Year,State,Divorce_Rate
2011.0,MN      ,5.52748235037
2012.0,MN      ,5.6849541892
2013.0,MN      ,4.72830435731
2014.0,MN      ,5.15682266055
2008.0,MO       ,7.9814709901
2009.0,MO       ,7.72764207419
2010.0,MO       ,8.56883908709
2011.0,MO       ,8.14683625825
2012.0,MO       ,7.39791365856
2013.0,MO       ,7.40692717872
2014.0,MO       ,6.92250057009
2008.0,MS    ,9.08840539796
2009.0,MS    ,8.35693072726
2010.0,MS    ,8.12005344845
2011.0,MS    ,8.31805527263
2012.0,MS    ,8.81774401411
2013.0,MS    ,8.2973556395
2014.0,MS    ,7.00734917108
2008.0,MT        ,6.15181808195
2009.0,MT        ,5.13507479348
2010.0,MT        ,6.52262535671
2011.0,MT        ,8.32915203211
2012.0,MT        ,6.99231829821
2013.0,MT        ,6.32848808464
2014.0,MT        ,5.1629884592
2008.0,NC ,7.09510901846
2009.0,NC ,7.4566706973
2010.0,NC ,7.24372193319
2011.0,NC ,7.36272878536
2012.0,NC ,7.02114555533
2013.0,NC ,6.71051279416
2014.0,NC ,6.29663702341
2008.0,ND   ,5.55889423077
2009.0,ND   ,5.58987937629
2010.0,ND   ,5.53210074247
2011.0,ND   ,5.15242593388
2012.0,ND   ,5.75680988486
2013.0,ND   ,4.70746469401
2014.0,ND   ,4.85245901639
2008.0,NE       ,7.57617960002
2009.0,NE       ,7.23397205809
2010.0,NE       ,6.44050857809
2011.0,NE       ,7.26767487843
2012.0,NE       ,6.4078801038
2013.0,NE       ,5.84019113353
2014.0,NE       ,5.3698972942
2008.0,NH  ,6.60928373809
2009.0,NH  ,6.06712234083
2010.0,NH  ,8.46880907372
2011.0,NH  ,7.21436984688
2012.0,NH  ,6.23654317321
2013.0,NH  ,6.56972023326
2014.0,NH  ,6.92685833457
2008.0,NJ     ,5.7732861637
2009.0,NJ     ,4.78252813933
2010.0,NJ     ,5.2536604308
2011.0,NJ     ,5.33004402096
2012.0,NJ     ,5.48844925741
2013.0,NJ     ,5.02768048808
2014.0,NJ     ,4.62836918051
2008.0,NM     ,7.26470429963
2009.0,NM     ,8.07823129252
2010.0,NM     ,7.18413243792
2011.0,NM     ,7.33174900137
2012.0,NM     ,7.43513226443
2013.0,NM     ,7.05082682358
2014.0,NM     ,6.53425296894
2008.0,NV         ,9.05100415647
2009.0,NV         ,9.06483075158
2010.0,NV         ,10.182767624
2011.0,NV         ,8.0036763298
2012.0,NV         ,9.6909376637
2013.0,NV         ,8.52400179453
2014.0,NV         ,7.1982694316
2008.0,NY       ,5.59412857395
2009.0,NY       ,5.68955378853
2010.0,NY       ,5.29044879414
2011.0,NY       ,5.71576374167
